x,s1,s2,s3,s4,s5
0.8799902331827616,-0.9999964393954672,-0.7599967770763959,-0.7390953803771265,-0.02090139669926938,-0.005082978814338266
0.880112318398242,-0.9999963495062903,-0.7602408669527569,-0.739735167252352,-0.020505699700404945,-0.004782977102581488
0.8802344036137224,-0.999996259476309,-0.7604849566153712,-0.7403885066676863,-0.02009644994768489,-0.004480391374456042
0.8803564888292028,-0.999996169305426,-0.7607290460639347,-0.7410551704688012,-0.01967387559513345,-0.004175398886958263
0.8804785740446832,-0.999996078993095,-0.7609731352981012,-0.7417349218000261,-0.019238213498075085,-0.003868178179539977
0.8806006592601636,-0.9999959885392059,-0.7612172243176525,-0.7424275152337626,-0.018789709083889883,-0.003558908969748943
0.880722744475644,-0.9999958979433301,-0.7614613131222003,-0.7431326969054209,-0.018328616216779392,-0.0032477720482531804
0.8808448296911244,-0.9999958072052151,-0.7617054017114523,-0.7438502046537994,-0.017855197057652927,-0.0029349491733104078
0.8809669149066048,-0.999995716324541,-0.7619494900850905,-0.7445797681668582,-0.017369721918232273,-0.002620622964744086
0.8810890001220852,-0.9999956253010193,-0.7621935782428225,-0.7453211091327717,-0.016872469110050803,-0.002304976797487847
0.8812110853375656,-0.9999955341343097,-0.7624376661843174,-0.7460739413962081,-0.016363724788109324,-0.0019881946947601084
0.881333170553046,-0.9999954428241664,-0.7626817539092796,-0.7468379711197299,-0.015843782789549676,-0.0016704612209319032
